task_id,attacks,honest_have,honest_needed
12990180,14,1,13
11762372,14,1,13
15165306,14,1,13
6935769,13,1,12
21914632,12,1,11
23367857,12,1,11
30714276,12,1,11
29559347,12,1,11
38816077,12,1,11
37586811,12,1,11
29266560,12,1,11
22172861,12,1,11
78402166,12,1,11
17446801,12,1,11
4690851,11,1,10
32208782,11,1,10
44726377,10,1,9
39477163,10,1,9
14190731,10,1,9
29396928,10,1,9
27742462,9,1,8
2149564,9,1,8
27151176,9,1,8
13945984,9,1,8
38302492,8,1,7
52532893,8,1,7
58313106,8,1,7
6241282,8,1,7
21529540,8,1,7
70849769,8,1,7
7225888,8,1,7
8699293,8,1,7
50110992,8,1,7
10736505,7,1,6
65297987,7,1,6
6624622,7,1,6
67034029,7,1,6
10730838,7,1,6
9433452,6,1,5
8657908,6,1,5
17820740,6,1,5
48451721,6,1,5
26225238,5,1,4
11436013,5,1,4
5566310,5,1,4
34593048,5,1,4
40657182,4,1,3
19806945,4,1,3
16773189,4,1,3
60079327,4,1,3
52018092,4,1,3
14371695,4,1,3
7572974,3,1,2
3070723,3,1,2
59487096,3,1,2
25305237,3,1,2
45267439,3,1,2
22021253,3,1,2
463963,3,1,2
15684771,3,1,2
17221481,3,1,2
38102481,3,1,2
29328278,3,1,2
18455698,3,1,2
52611053,2,1,1
15443246,2,1,1
62827291,2,1,1
50863306,2,1,1
44001260,2,1,1
43511508,2,1,1
16158435,2,1,1
53451103,2,1,1
42299905,2,1,1
13976680,2,1,1
11618144,2,1,1
5498142,2,1,1
38927895,2,1,1
29603725,2,1,1
12150116,1,1,0
854200,1,1,0
7893827,1,1,0
11711218,1,1,0
62987154,1,1,0
5843741,1,1,0
70750342,1,1,0
14049109,1,1,0
6769414,1,1,0
13343058,1,1,0
13770826,1,1,0
12679075,1,1,0
23369937,1,1,0
53690327,1,1,0
17068142,1,1,0
26415833,1,1,0
27137527,1,1,0
23098153,1,1,0
22820492,1,1,0
21880360,1,1,0
20478516,1,1,0
29667243,1,1,0
31989426,1,1,0
33994543,1,1,0
34113609,1,1,0
4131158,1,1,0
52845387,1,1,0
41362016,1,1,0
41516240,1,1,0
41967095,1,1,0
4249063,1,1,0
4290684,1,1,0
43063709,1,1,0
43244074,1,1,0
44232616,1,1,0
48668535,1,1,0
15005240,1,1,0
9614184,1,1,0
