id,task,target_calls,calls_before,calls_after,steps_before,steps_after,chars_before,chars_after
honest_10730838_0,10730838,40,41,38,23,22,76333,74936
honest_11618144_0,11618144,41,37,37,17,17,52025,52025
honest_19806945_0,19806945,36,67,36,46,15,110945,42301
honest_20478516_0,20478516,36,27,27,21,21,75964,75964
honest_2149564_0,2149564,19,28,19,16,10,54404,41245
honest_29266560_0,29266560,23,36,23,30,18,90037,34663
honest_29396928_0,29396928,25,52,23,22,8,61889,38544
honest_29559347_0,29559347,22,23,22,13,12,33283,29792
honest_40657182_0,40657182,21,16,16,7,7,6614,6614
honest_4131158_0,4131158,43,70,41,41,23,98392,39693
honest_41516240_0,41516240,37,45,36,28,21,76925,57317
honest_67034029_0,67034029,25,42,25,36,19,139760,68885
honest_10736505_0,10736505,21,40,19,20,8,55125,12151
honest_11436013_0,11436013,43,67,43,57,33,206168,140615
honest_11762372_0,11762372,36,89,35,46,22,104168,60082
honest_12990180_0,12990180,23,31,22,13,9,49853,36882
honest_14190731_0,14190731,15,44,15,38,9,142670,25792
honest_15165306_0,15165306,16,23,16,12,9,34701,29455
honest_17446801_0,17446801,19,40,17,18,8,60057,34448
honest_17820740_0,17820740,29,37,28,20,16,84223,78707
honest_21529540_0,21529540,11,38,11,32,5,103716,16017
honest_21914632_0,21914632,29,66,27,25,8,70757,33935
honest_22172861_0,22172861,16,26,16,14,6,38177,22120
honest_23367857_0,23367857,18,19,18,10,9,38772,34742
honest_27151176_0,27151176,28,31,27,12,10,58246,54922
honest_27742462_0,27742462,43,40,40,26,26,45200,45200
honest_3070723_0,3070723,29,31,29,14,12,82650,72253
honest_30714276_0,30714276,25,58,25,40,14,130386,85865
honest_32208782_0,32208782,35,45,35,38,28,100197,75139
honest_37586811_0,37586811,26,36,21,15,12,80573,74382
honest_38302492_0,38302492,34,46,25,14,8,44765,22347
honest_38816077_0,38816077,35,44,34,28,20,78997,62864
honest_39477163_0,39477163,22,23,22,11,10,25844,22917
honest_44726377_0,44726377,44,114,41,43,13,94099,24532
honest_4690851_0,4690851,22,28,21,13,11,45975,38913
honest_48451721_0,48451721,22,18,18,13,13,56354,56354
honest_50110992_0,50110992,30,39,30,17,11,96885,69743
honest_52532893_0,52532893,33,42,32,22,15,62455,43237
honest_58313106_0,58313106,29,47,29,34,16,65528,42384
honest_6241282_0,6241282,30,31,30,22,21,64979,62322
honest_65297987_0,65297987,29,51,27,17,9,81391,33802
honest_6935769_0,6935769,9,17,9,11,5,32868,14291
honest_70849769_0,70849769,18,36,17,15,8,47073,28627
honest_7225888_0,7225888,13,31,13,20,9,81282,33573
honest_78402166_0,78402166,38,29,29,15,15,75720,75720
honest_8657908_0,8657908,28,56,28,37,17,95209,34274
honest_8699293_0,8699293,19,29,19,14,8,41027,26530
honest_9433452_0,9433452,48,53,48,32,27,109525,92770
honest_11711218_0,11711218,28,53,28,23,12,54952,32300
honest_12150116_0,12150116,34,35,33,20,19,87995,82432
honest_12679075_0,12679075,48,43,43,11,11,45949,45949
honest_13343058_0,13343058,24,29,24,11,8,35244,29366
honest_13770826_0,13770826,25,46,25,39,18,127355,61284
honest_13945984_0,13945984,28,45,28,35,20,129264,76705
honest_13976680_0,13976680,36,44,36,16,14,65463,61871
honest_14049109_0,14049109,19,40,19,30,9,61079,19700
honest_14371695_0,14371695,24,20,20,11,11,33821,33821
honest_15005240_0,15005240,46,20,20,11,11,54339,54339
honest_15443246_0,15443246,25,32,24,14,11,48625,45615
honest_15684771_0,15684771,21,17,17,10,10,62738,62738
honest_16158435_0,16158435,32,36,32,26,22,78813,66484
honest_16773189_0,16773189,24,89,24,41,10,84392,25478
honest_17068142_0,17068142,30,25,25,10,10,38286,38286
honest_17221481_0,17221481,28,21,21,13,13,54549,54549
honest_18455698_0,18455698,30,29,29,20,20,67030,67030
honest_21880360_0,21880360,38,55,38,34,23,72591,46344
honest_22021253_0,22021253,23,28,23,19,14,51903,34223
honest_22820492_0,22820492,53,51,51,34,34,81644,81644
honest_23098153_0,23098153,25,28,25,8,7,68337,63720
honest_23369937_0,23369937,26,13,13,10,10,44723,44723
honest_25305237_0,25305237,28,43,27,16,10,64976,48665
honest_26225238_0,26225238,25,27,22,10,8,35484,28710
honest_26415833_0,26415833,23,33,23,18,11,32966,23113
honest_27137527_0,27137527,31,32,31,27,26,72558,69446
honest_29328278_0,29328278,17,38,17,17,9,53984,36536
honest_29603725_0,29603725,35,70,31,28,13,89692,41729
honest_29667243_0,29667243,21,35,20,25,11,101025,40262
honest_31989426_0,31989426,28,39,28,12,9,38501,31614
honest_33994543_0,33994543,24,27,24,13,12,51300,49263
honest_34113609_0,34113609,35,76,35,56,20,159379,59873
honest_34593048_0,34593048,29,43,29,22,14,59207,37540
honest_38102481_0,38102481,39,73,39,49,25,149572,67317
honest_38927895_0,38927895,32,48,32,20,13,107991,44651
honest_41362016_0,41362016,25,20,20,15,15,80717,80717
honest_41967095_0,41967095,31,66,27,30,11,60016,16328
honest_42299905_0,42299905,33,53,32,22,13,76646,56498
honest_4249063_0,4249063,32,62,30,26,14,96803,65234
honest_4290684_0,4290684,41,26,26,20,20,50815,50815
honest_43063709_0,43063709,47,23,23,10,10,45504,45504
honest_43244074_0,43244074,33,60,33,44,17,134456,40711
honest_43511508_0,43511508,47,44,44,23,23,43431,43431
honest_44001260_0,44001260,30,42,28,22,14,53083,43315
honest_44232616_0,44232616,32,42,30,16,12,57128,48250
honest_45267439_0,45267439,29,28,28,9,9,33574,33574
honest_463963_0,463963,27,35,27,29,21,97536,81177
honest_48668535_0,48668535,25,22,22,16,16,100288,100288
honest_50863306_0,50863306,23,31,21,16,12,47677,37070
honest_52018092_0,52018092,43,57,43,28,21,55158,39232
honest_52611053_0,52611053,36,21,21,17,17,50517,50517
honest_52845387_0,52845387,34,32,32,19,19,83706,83706
honest_53451103_0,53451103,34,38,33,14,12,145083,140063
honest_53690327_0,53690327,40,31,31,21,21,60055,60055
honest_5498142_0,5498142,27,27,27,14,14,38045,38045
honest_5566310_0,5566310,32,33,32,13,12,66061,64190
honest_5843741_0,5843741,26,33,26,13,10,49097,39777
honest_59487096_0,59487096,37,46,34,13,9,55351,35861
honest_60079327_0,60079327,23,31,22,17,11,49393,34228
honest_62827291_0,62827291,55,54,54,34,34,80504,80504
honest_62987154_0,62987154,41,55,41,22,17,58385,31192
honest_6624622_0,6624622,11,16,10,9,6,21798,16941
honest_6769414_0,6769414,32,41,32,30,21,144987,98597
honest_70750342_0,70750342,40,65,38,30,16,54418,31549
honest_7572974_0,7572974,20,32,20,23,11,59005,39535
honest_7893827_0,7893827,33,45,33,19,12,72114,40085
honest_854200_0,854200,38,24,24,12,12,21760,21760
honest_9614184_0,9614184,20,26,20,16,10,44566,33119
honest_32208782_1,32208782,28,35,28,30,23,86612,74737
honest_32208782_2,32208782,31,36,31,31,26,89506,75673
honest_4690851_2,4690851,26,33,25,19,16,46297,40563
honest_32208782_3,32208782,20,23,20,19,16,67154,60737
honest_4690851_3,4690851,25,28,25,12,11,47306,44231
honest_32208782_4,32208782,29,35,29,31,25,119237,98770
honest_4690851_4,4690851,25,31,24,16,14,56325,48155
honest_32208782_5,32208782,27,33,27,28,22,71932,59920
honest_4690851_5,4690851,18,24,18,14,11,43271,34766
honest_32208782_6,32208782,21,27,21,24,18,43659,36639
honest_4690851_6,4690851,21,27,21,16,13,63578,52861
honest_32208782_7,32208782,28,34,28,30,25,79687,65014
honest_4690851_7,4690851,26,31,26,16,15,44429,42376
honest_32208782_8,32208782,30,35,30,29,24,95063,83471
honest_4690851_8,4690851,25,28,25,16,15,53556,49057
honest_32208782_9,32208782,25,29,25,24,20,71228,63153
honest_4690851_9,4690851,35,33,33,14,14,59499,59499
honest_32208782_10,32208782,41,45,41,40,36,119045,105042
honest_4690851_10,4690851,21,27,19,13,9,58158,36779
honest_17446801_1,17446801,34,60,32,25,15,71287,46306
honest_21914632_1,21914632,30,85,30,28,11,76244,49432
honest_22172861_1,22172861,21,27,20,13,9,54352,35479
honest_23367857_1,23367857,20,24,18,12,8,36553,27553
honest_29266560_1,29266560,34,50,34,34,21,86430,47839
honest_29559347_1,29559347,23,25,23,17,15,30769,27736
honest_30714276_1,30714276,22,44,22,31,12,124779,89560
honest_37586811_1,37586811,30,42,29,18,12,58771,40626
honest_38816077_1,38816077,33,43,33,18,14,52891,38773
honest_78402166_1,78402166,33,27,27,16,16,58651,58651
honest_17446801_2,17446801,12,25,12,16,5,48701,19559
honest_21914632_2,21914632,12,28,11,8,5,36182,30521
honest_22172861_2,22172861,12,18,10,11,5,40836,31898
honest_23367857_2,23367857,30,29,29,8,8,35170,35170
honest_29266560_2,29266560,57,55,55,29,29,83498,83498
honest_29559347_2,29559347,37,46,37,28,21,87069,78336
honest_30714276_2,30714276,36,77,34,33,14,128961,67168
honest_37586811_2,37586811,24,34,22,13,11,89321,86073
honest_38816077_2,38816077,36,45,35,24,17,54680,42760
honest_78402166_2,78402166,20,18,18,12,12,49096,49096
honest_17446801_3,17446801,8,19,7,13,4,43657,7166
honest_21914632_3,21914632,28,60,26,26,13,82609,53221
honest_22172861_3,22172861,10,15,10,10,5,23213,17855
honest_23367857_3,23367857,19,23,16,10,7,35055,28316
honest_29266560_3,29266560,24,36,24,21,12,56387,36293
honest_29559347_3,29559347,36,44,36,30,23,98045,82655
honest_30714276_3,30714276,19,40,19,32,11,127658,95731
honest_37586811_3,37586811,17,31,16,11,6,44114,31162
honest_38816077_3,38816077,24,28,24,20,16,44633,32931
honest_78402166_3,78402166,32,26,26,14,14,49328,49328
honest_21914632_4,21914632,17,37,16,16,7,49939,31346
honest_22172861_4,22172861,29,35,29,19,14,43114,32969
honest_23367857_4,23367857,20,24,20,10,9,26006,25133
honest_29266560_4,29266560,26,36,26,28,18,65886,36806
honest_29559347_4,29559347,26,33,26,20,15,49097,44176
honest_30714276_4,30714276,36,78,35,31,14,118710,81872
honest_37586811_4,37586811,24,35,23,17,10,54830,39045
honest_38816077_4,38816077,40,54,38,26,18,71196,50907
honest_78402166_4,78402166,29,24,24,18,18,51955,51955
honest_21914632_5,21914632,14,33,14,9,5,35159,30443
honest_22172861_5,22172861,28,30,28,15,13,46437,43196
honest_23367857_5,23367857,19,23,19,10,9,31680,28717
honest_29266560_5,29266560,27,38,27,29,19,91077,41081
honest_29559347_5,29559347,19,19,19,19,19,52122,52122
honest_30714276_5,30714276,29,60,28,31,15,96460,63689
honest_37586811_5,37586811,15,29,13,10,6,46009,41087
honest_38816077_5,38816077,39,47,39,21,18,69327,59968
honest_78402166_5,78402166,39,33,33,14,14,67533,67533
honest_17446801_6,17446801,27,41,26,17,12,58887,37042
honest_21914632_6,21914632,25,50,21,18,10,71148,49024
honest_22172861_6,22172861,12,17,12,11,6,23888,18808
honest_23367857_6,23367857,21,25,21,13,10,38081,32032
honest_29266560_6,29266560,23,35,23,26,15,73447,29999
honest_29559347_6,29559347,23,29,23,15,11,46524,30035
honest_30714276_6,30714276,33,74,31,36,14,114236,69537
honest_37586811_6,37586811,27,39,27,17,13,59080,54586
honest_38816077_6,38816077,32,28,28,16,16,64892,64892
honest_78402166_6,78402166,40,36,36,15,15,68731,68731
honest_17446801_7,17446801,28,44,26,19,13,43617,34269
honest_21914632_7,21914632,19,41,18,11,6,39356,32293
honest_22172861_7,22172861,25,28,22,12,10,28349,25449
honest_23367857_7,23367857,18,21,17,8,7,31672,28207
honest_29266560_7,29266560,32,47,32,27,17,80465,43182
honest_29559347_7,29559347,27,33,27,21,17,61615,51989
honest_30714276_7,30714276,31,64,30,29,13,112843,81110
honest_37586811_7,37586811,33,50,30,20,15,85845,74535
honest_38816077_7,38816077,40,52,38,25,17,70362,50450
honest_78402166_7,78402166,29,25,25,16,16,51168,51168
honest_17446801_8,17446801,14,31,14,17,7,50691,37042
honest_21914632_8,21914632,27,58,26,22,8,68317,33383
honest_22172861_8,22172861,14,24,14,11,6,31956,20732
honest_23367857_8,23367857,29,27,27,10,10,30048,30048
honest_29266560_8,29266560,20,31,20,20,10,49017,32904
honest_29559347_8,29559347,34,43,34,26,17,114319,69576
honest_30714276_8,30714276,40,96,40,51,22,138189,83896
honest_37586811_8,37586811,20,32,18,13,8,42252,36161
honest_38816077_8,38816077,36,45,36,22,17,72144,51539
honest_78402166_8,78402166,37,27,27,12,12,45188,45188
honest_17446801_9,17446801,19,34,19,19,10,43930,32970
honest_21914632_9,21914632,27,56,26,23,12,91012,41600
honest_22172861_9,22172861,11,15,9,9,5,25565,16456
honest_23367857_9,23367857,17,16,16,10,10,32230,32230
honest_29266560_9,29266560,21,31,21,21,13,43128,27199
honest_29559347_9,29559347,46,48,46,28,26,91467,86300
honest_30714276_9,30714276,23,48,21,31,9,83759,49622
honest_37586811_9,37586811,27,38,26,15,12,68606,65633
honest_38816077_9,38816077,20,27,20,19,13,72955,49114
honest_78402166_9,78402166,38,28,28,12,12,96735,96735
honest_21914632_10,21914632,26,50,26,19,11,65484,54221
honest_22172861_10,22172861,13,19,13,10,7,34628,29560
honest_23367857_10,23367857,30,31,26,11,10,53030,46942
honest_29266560_10,29266560,29,42,29,26,15,73227,42425
honest_29559347_10,29559347,27,34,25,17,12,35726,24415
honest_30714276_10,30714276,29,61,29,39,14,101888,63575
honest_37586811_10,37586811,19,31,17,10,7,49865,42330
honest_38816077_10,38816077,15,26,12,16,7,40766,25062
honest_78402166_10,78402166,29,23,23,17,17,55151,55151
honest_17446801_11,17446801,13,29,13,14,5,45289,32778
honest_21914632_11,21914632,20,43,19,11,7,42970,35772
honest_22172861_11,22172861,13,21,13,9,6,22587,17777
honest_23367857_11,23367857,24,25,22,11,10,26435,25790
honest_29266560_11,29266560,21,32,21,18,11,64750,29601
honest_29559347_11,29559347,25,29,23,16,13,31104,23392
honest_30714276_11,30714276,36,83,36,39,15,154616,84802
honest_37586811_11,37586811,23,33,20,13,10,40595,36699
honest_38816077_11,38816077,45,54,42,22,18,55467,43517
honest_78402166_11,78402166,37,27,27,12,12,71026,71026
honest_11762372_1,11762372,21,37,20,24,12,77275,45821
honest_12990180_1,12990180,26,32,26,23,17,61964,45373
honest_15165306_1,15165306,26,41,25,23,13,49896,34820
honest_11762372_2,11762372,55,92,54,50,27,127389,73815
honest_12990180_2,12990180,17,23,16,14,8,49755,31173
honest_15165306_2,15165306,25,31,25,16,14,45714,40042
honest_11762372_3,11762372,19,34,18,25,12,77167,40727
