task_id,attacks
10730838,7
10736505,7
11436013,6
11618144,2
11711218,1
11762372,14
12150116,1
12679075,1
12990180,14
13343058,1
13770826,1
13945984,9
13976680,2
14049109,1
14190731,10
14371695,4
15005240,1
15165306,14
15443246,2
15684771,3
16158435,2
16773189,4
17068142,1
17221481,3
17446801,9
17820740,8
18455698,1
19806945,4
20478516,1
2149564,9
21529540,8
21880360,1
21914632,12
22021253,3
22172861,12
22820492,1
23098153,1
23367857,12
23369937,1
25305237,3
26225238,5
26415833,1
27137527,1
27151176,9
27742462,9
29266560,12
29328278,3
29396928,10
29559347,12
29603725,2
29667243,1
3070723,7
30714276,12
31989426,1
32208782,11
33994543,1
34113609,1
34593048,5
37586811,12
38102481,3
38302492,8
38816077,12
38927895,2
39477163,10
40657182,1
4131158,1
41362016,1
41516240,1
41967095,1
42299905,2
4249063,1
4290684,1
43063709,1
43244074,1
43511508,2
44001260,2
44232616,1
44726377,10
45267439,3
463963,3
4690851,10
48451721,6
48668535,1
50110992,8
50863306,2
52018092,4
52532893,8
52611053,2
52845387,1
53451103,1
53690327,1
5498142,2
5566310,5
58313106,8
5843741,1
59487096,3
60079327,4
6241282,8
62827291,1
62987154,1
65297987,7
6624622,7
67034029,7
6769414,1
6935769,13
70750342,1
70849769,8
7225888,8
7572974,3
78402166,12
7893827,1
854200,1
8657908,8
8699293,8
9433452,8
9614184,1
