id,label,task,split,n_steps,chars,order_in_split
attack_21914632_0,attack,21914632,train,19,44022,0
honest_21914632_0,honest,21914632,train,8,33935,1
attack_40657182_0,attack,40657182,train,10,26484,2
honest_40657182_0,honest,40657182,train,7,6614,3
attack_37586811_0,attack,37586811,train,19,27000,4
honest_37586811_0,honest,37586811,train,12,74382,5
attack_44001260_0,attack,44001260,train,15,58818,6
honest_44001260_0,honest,44001260,train,14,43315,7
attack_52532893_0,attack,52532893,train,23,52937,8
honest_52532893_0,honest,52532893,train,15,43237,9
attack_48451721_0,attack,48451721,train,10,33603,10
honest_48451721_0,honest,48451721,train,13,56354,11
attack_5843741_0,attack,5843741,train,15,36631,12
honest_5843741_0,honest,5843741,train,10,39777,13
attack_15005240_0,attack,15005240,train,32,61934,14
honest_15005240_0,honest,15005240,train,11,54339,15
attack_17820740_0,attack,17820740,train,15,22749,16
honest_17820740_0,honest,17820740,train,16,78707,17
attack_67034029_0,attack,67034029,train,15,46956,18
honest_67034029_0,honest,67034029,train,19,68885,19
attack_7893827_0,attack,7893827,train,20,36695,20
honest_7893827_0,honest,7893827,train,12,40085,21
attack_8699293_0,attack,8699293,train,16,36900,22
honest_8699293_0,honest,8699293,train,8,26530,23
attack_29667243_0,attack,29667243,train,13,40825,24
honest_29667243_0,honest,29667243,train,11,40262,25
attack_33994543_0,attack,33994543,train,13,47398,26
honest_33994543_0,honest,33994543,train,12,49263,27
attack_34113609_0,attack,34113609,train,18,48404,28
honest_34113609_0,honest,34113609,train,20,59873,29
attack_9433452_0,attack,9433452,train,24,50211,30
honest_9433452_0,honest,9433452,train,27,92770,31
attack_10736505_0,attack,10736505,train,22,27126,32
honest_10736505_0,honest,10736505,train,8,12151,33
attack_11762372_0,attack,11762372,train,9,30214,34
honest_11762372_0,honest,11762372,train,22,60082,35
attack_4690851_0,attack,4690851,train,15,41860,36
honest_4690851_0,honest,4690851,train,11,38913,37
attack_44726377_0,attack,44726377,train,22,51344,38
